player,VSA,SBA,SwM,FB_SwM,BB_SwM,IZ_SwM,swings,IZ_swings,IZ swings/miss,date,runs_scored
"Ahmed, Nick",-25.8,-20.9,0.25,0.2,0.29,0.19,288,180,34,5/5/2021,2
"Alexander, Jesus",-28.1,-25,0.35,0.31,0.71,0.35,71,46,16,5/6/2021,6
"Arias, Rayner",-32.4,-10.9,0.22,0.15,0.75,0.16,57,45,7,5/7/2021,2
"Arosemena, Erick",-39.5,-15.1,0.27,0.21,0.42,0.19,110,73,14,5/8/2021,4
"Astudillo, Jose",-29.2,-14.6,0.1,0.06,0.19,0.03,55,32,1,5/9/2021,8
"Auerbach, Brett",-22.5,-18.4,0.28,0.26,0.32,0.19,302,187,35,5/10/2021,6
"Bailey, Patrick",-33.7,-14.2,0.24,0.2,0.31,0.15,883,580,88,5/11/2021,3
"Bandura, Scott",-35.3,-6.8,0.22,0.26,0.24,0.2,112,70,14,5/12/2021,4
"Bart, Joey",-36.7,-13.9,0.23,0.16,0.3,0.13,452,274,35,5/13/2021,2
"Bench, Justin",-27.3,-16.1,0.22,0.2,0.24,0.15,105,68,10,5/14/2021,1
"Bericoto, Victor",-33.6,-20.6,0.29,0.26,0.32,0.24,305,170,41,5/15/2021,1
"Blanco, Miguel",-32,-12.6,0.19,0.13,0.34,0.08,148,89,7,5/16/2021,5
"Brizuela, Soyger",-29,-20.4,0.31,0.26,0.38,0.17,77,54,9,5/17/2021,4
"Brooks, Trenton",-35.6,-18.7,0.19,0.13,0.29,0.11,333,228,25,5/18/2021,2
"Brown, Vaun",-35.9,-19.2,0.42,0.38,0.51,0.27,492,282,77,5/19/2021,3
"Caldera, Nehomar",-35.4,-19.9,0.27,0.24,0.23,0.16,93,58,9,5/20/2021,1
"Camacaro, Keiberg",-35.2,-17.5,0.31,0.3,0.31,0.22,155,100,22,5/21/2021,2
"Cassiani, Estanlin",-28.3,-5.7,0.25,0.25,0.38,0.21,147,86,18,5/22/2021,2
"Castillo, Javier",-35.5,-13.2,0.29,0.33,0.27,0.19,99,62,12,5/23/2021,2
"Cavanaugh, Drew",-43.4,-20.5,0.3,0.29,0.38,0.2,53,35,7,5/24/2021,4
"Chapman, Matt",-27.1,-20.3,0.28,0.26,0.35,0.23,879,620,140,5/25/2021,3
"Concepcion, Carlos",-30.8,-12.8,0.27,0.22,0.42,0.16,146,88,14,5/26/2021,4
"Conforto, Michael",-30,-21.9,0.22,0.17,0.28,0.14,842,580,80,5/27/2021,5
"Cox, Jonah",-37.4,-19,0.3,0.15,0.48,0.16,61,31,5,5/28/2021,1
"Davidson, Chanteyon",-33.2,-21.6,0.32,0.33,0,0.28,63,50,14,5/29/2021,1
"De La Rosa, Moises",-31.6,-6.3,0.21,0.17,0.29,0.08,114,76,6,5/30/2021,1
"Diaz, Lisbel",-18.1,-21.7,0.17,0.14,0.19,0.09,69,43,4,5/31/2021,2
"Diaz, Nomar",-34.9,-17.1,0.42,0.39,0.47,0.29,59,41,12,6/1/2021,2
"Diaz, Yusniel",-35.1,-21.2,0.3,0.4,0,0.32,24,19,6,6/2/2021,2
"Dues, Damon",-39.8,1.1,0.24,0.31,0,0.16,41,32,5,6/3/2021,3
"Eldridge, Bryson",-35.9,-17.6,0.3,0.25,0.25,0.27,116,82,22,6/4/2021,4
"Estrada, Thairo",-32.1,-13,0.21,0.11,0.36,0.09,1017,572,54,6/5/2021,3
"Fitzgerald, Tyler",-35,-13.6,0.3,0.17,0.41,0.2,806,498,100,6/6/2021,2
"Flores, Wilmer",-32.6,-15,0.16,0.09,0.24,0.1,845,551,56,6/7/2021,5
"Foster, Cole",-33,-2.5,0.32,0.27,0.36,0.19,154,91,17,6/8/2021,2
"Francisco, Javier",-27.3,-10.7,0.21,0.11,0.46,0.1,117,72,7,6/9/2021,6
"Frechette, Garrett",-38,-6.4,0.24,0.22,0.27,0.15,181,111,17,6/10/2021,3
"Frias, Luis",-26.1,-17.7,0.3,0.22,0.44,0.21,180,99,21,6/11/2021,5
"Gavello, Thomas",-36.2,-19.9,0.35,0.2,0.5,0.18,193,127,23,6/12/2021,8
"Glowenke, Jimmy",-29,-24.3,0.29,0.21,0.39,0.18,473,280,51,6/13/2021,5
"Gonzalez, Anyelo",-27.3,-12.1,0.22,0.17,0.35,0.2,110,66,13,6/14/2021,4
"Gonzalez, Cesar",-30.7,-13.4,0.27,0.26,0.25,0.22,91,54,12,6/15/2021,6
"Gonzalez, Diego",-32.3,-9,0.28,0.23,0.5,0.15,115,68,10,6/16/2021,3
"Gutierrez, Carlos",-38.4,-19.2,0.14,0.17,0,0.18,29,17,3,6/17/2021,1
"Guzman, Angel",-21,-25.9,0.25,0.18,0.56,0.16,131,77,12,6/18/2021,2
"Hanchey, Ty",-28.6,4.3,0.13,0.11,0,0,27,21,0,6/19/2021,4
"Higgins, Matt",-38.9,-8.4,0.2,0.09,0.33,0.09,232,162,15,6/20/2021,5
"Hill, Turner",-31.4,-13.6,0.12,0.05,0.24,0.05,270,175,8,6/21/2021,4
"Howell, Carter",-30.6,-11.2,0.21,0.17,0.22,0.1,140,89,9,6/22/2021,2
"Hummel, Cooper",-28.7,-13,0.25,0.11,0.34,0.13,213,144,18,6/23/2021,4
"Kachel, Andrew",-30,-17.5,0.27,0.22,0.32,0.18,244,148,27,6/24/2021,5
"Ladera, Oswaldo",-31.5,-19.2,0.35,0.3,0.38,0.27,144,98,26,6/25/2021,1
"Laya, Derwin",-27.1,-21.9,0.3,0.26,0.3,0.19,115,79,15,6/26/2021,23
"Lewis, Nadir",-32.6,-8.9,0.33,0.37,0.33,0.31,50,32,10,6/27/2021,4
"Lopez, Otto",-31.5,-6.5,0.19,0.11,0.21,0.1,444,265,27,6/28/2021,4
"Luciano, Marco",-31.4,-14,0.34,0.21,0.41,0.22,616,377,83,6/29/2021,2
"Maduro, Jediael",-36.1,-11.2,0.26,0.15,0.46,0.23,55,35,8,6/30/2021,4
"Martorano, Brandon",-37.9,-26.3,0.32,0.22,0.41,0.21,419,268,57,7/1/2021,5
"Matos, Luis",-23.3,-4.6,0.14,0.12,0.19,0.08,774,503,38,7/2/2021,12
"McDaniel, Quinn",-31.1,-23.5,0.35,0.35,0.31,0.29,82,51,15,7/3/2021,4
"McIntyre, Donovan",-29,-19.7,0.38,0.33,0.53,0.27,85,56,15,7/4/2021,1
"Meckler, Wade",-43.9,-8.8,0.21,0.07,0.34,0.11,442,289,32,7/5/2021,2
"Morales, Lazaro",-30.1,-24.4,0.35,0.4,0.19,0.21,93,57,12,7/6/2021,41
"Morgan, Zach",-29.9,-12.6,0.16,0.14,0.13,0.07,154,104,7,7/7/2021,4
"Munguia, Ismael",-22.6,-18.5,0.15,0.13,0.19,0.08,524,324,26,7/8/2021,5
"Murphy, Tom",-35.9,-14.6,0.28,0.23,0.34,0.2,252,168,33,7/9/2021,1
"O'Tremba, Tanner",-31.6,-17.1,0.28,0.2,0.4,0.21,274,165,35,7/10/2021,12
"Ortiz Rivera, José",-29.8,-22.2,0.3,0.33,0.17,0.31,21,13,4,7/11/2021,45
"Payton, Jack",-38.6,-19,0.33,0.33,0.13,0.32,62,47,15,7/12/2021,21
"Peralta, Ramon",-30.2,-20.5,0.32,0.27,0.41,0.26,166,103,27,7/13/2021,5
"Perez, Juan",-27.6,-4.4,0.28,0.13,0.4,0.17,64,41,7,7/14/2021,6
"Perez, Onil",-30.7,-9.4,0.11,0.1,0.15,0.09,217,143,13,7/15/2021,5
"Pinder, Chase",-35.9,-17.1,0.27,0.2,0.26,0.1,99,58,6,7/16/2021,52
"Pomares, Jairo",-34,-18.1,0.54,0.46,0.67,0.5,37,22,11,7/17/2021,442
"Quintas, Cesar",-36,-2.2,0.29,0.2,0.55,0.2,171,97,19,7/18/2021,23
"Ramirez, Jorge",-35.3,-23.4,0.28,0.24,0.3,0.22,69,46,10,7/19/2021,5
"Ramos, Heliot",-30.9,-17.1,0.3,0.22,0.39,0.17,537,316,54,7/20/2021,7
"Ramos, Jose",-27.7,-21.4,0.25,0.19,0.32,0.17,274,195,34,7/21/2021,2
"Rayo, Elian",-33.4,-22.6,0.44,0.45,0.45,0.37,153,91,34,7/22/2021,5
"Reckley, Ryan",-34.4,-11.5,0.35,0.3,0.44,0.31,114,70,22,7/23/2021,25
"Reetz, Jakson",-35.8,-18.4,0.32,0.27,0.37,0.19,296,177,33,7/24/2021,2
"Reyes, Samuel",-25,-8.6,0.3,0.3,0.22,0.28,46,29,8,7/25/2021,5
"Reynoso, Dario",-23.2,-24.7,0.33,0.27,0.4,0.31,106,65,20,7/26/2021,25
"Riera, Dennys",-26.5,-9.5,0.19,0.15,0.24,0.13,148,90,12,7/27/2021,66
"Rivas, Yosneiker",-26.6,-19.8,0.14,0.07,0.5,0.08,21,12,1,7/28/2021,2
"Rodriguez, Anthony",-35,-15.4,0.35,0.25,0.52,0.18,204,108,19,7/29/2021,2
"Rosario, Dilan",-34.5,-17,0.27,0.24,0.31,0.19,192,120,23,7/30/2021,5
"Sabol, Blake",-37.6,-29.2,0.35,0.25,0.43,0.24,682,466,114,7/31/2021,6
"Sandoval, Eliam",-24.7,-8.1,0.34,0.26,0.67,0.22,65,41,9,8/1/2021,3
"Schmitt, Casey",-34.5,-6.3,0.24,0.15,0.31,0.12,798,469,58,8/2/2021,3
"Shliger, Lucas",-40,-17.9,0.13,0.16,0.29,0.08,39,26,2,8/3/2021,3
"Sio, Jean Carlos",-32.6,-1.9,0.16,0.17,0.07,0.11,171,115,13,8/4/2021,3
"Slater, Austin",-37.4,-25,0.28,0.19,0.38,0.17,379,265,44,8/5/2021,5
"Soler, Jorge",-34.8,-10.1,0.25,0.16,0.3,0.16,818,528,87,8/6/2021,6
"Suarez, Alexander",-31.8,-17.4,0.31,0.29,0.29,0.21,321,196,42,8/7/2021,6
"Szykowny, Charles",-33.6,-0.5,0.24,0.07,0.48,0.16,98,51,8,8/8/2021,4
"Tandron, Anthony",-30.3,-6.1,0.34,0.29,0.46,0.27,190,124,34,8/9/2021,7
"Thomas, Andy",-29.3,-15.6,0.27,0.24,0.34,0.22,700,446,98,8/10/2021,7
"Velasquez, Diego",-34.7,-16.2,0.2,0.17,0.25,0.12,424,265,33,8/11/2021,88
"Villar, David",-39.7,-26.8,0.32,0.23,0.42,0.21,570,375,80,8/12/2021,8
"Villegas, Diego",-31.8,-14.2,0.24,0.19,0.21,0.19,92,58,11,8/13/2021,8
"Wade, LaMonte",-34,-9.5,0.2,0.15,0.23,0.12,849,595,69,8/14/2021,7
"Walton, Donovan",-33.4,-12.3,0.19,0.13,0.23,0.15,249,166,25,8/15/2021,5
"Williamson, Guillermo",-26.1,-34.2,0.3,0.28,0.35,0.19,123,83,16,8/16/2021,4
"Wilson, Will",-28.5,-20.9,0.29,0.2,0.39,0.18,628,357,64,8/17/2021,4
"Wisely, Brett",-36.2,-16.4,0.28,0.26,0.31,0.2,550,324,66,8/18/2021,4
"Wishkoski, Justin",-32.1,6.6,0.15,0.08,0.12,0.12,94,57,7,8/19/2021,5
"Wyatt, Logan",-36.6,-22.8,0.26,0.18,0.34,0.19,362,203,38,8/20/2021,53
"Yastrzemski, Mike",-30.8,-20.4,0.21,0.19,0.25,0.15,658,443,65,8/21/2021,3
